"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Bristol,http://landregistry.data.gov.uk/id/region/city-of-bristol,E06000023,2004-01,670,monthly,138990,254505,160016,134170,124124,2004-01-01
Bristol,http://landregistry.data.gov.uk/id/region/city-of-bristol,E06000023,2004-02,672,monthly,138959,253786,159906,134334,123836,2004-02-01
Bristol,http://landregistry.data.gov.uk/id/region/city-of-bristol,E06000023,2004-03,780,monthly,137941,252621,158606,133514,122651,2004-03-01
Bristol,http://landregistry.data.gov.uk/id/region/city-of-bristol,E06000023,2004-04,857,monthly,138515,250705,159051,134528,122933,2004-04-01
Bristol,http://landregistry.data.gov.uk/id/region/city-of-bristol,E06000023,2004-05,909,monthly,141340,253171,161848,137636,125486,2004-05-01
Bristol,http://landregistry.data.gov.uk/id/region/city-of-bristol,E06000023,2004-06,979,monthly,146014,259505,167174,142286,129701,2004-06-01
Bristol,http://landregistry.data.gov.uk/id/region/city-of-bristol,E06000023,2004-07,1050,monthly,149972,266465,172089,146274,132771,2004-07-01
Bristol,http://landregistry.data.gov.uk/id/region/city-of-bristol,E06000023,2004-08,900,monthly,153643,273898,176591,149924,135629,2004-08-01
Bristol,http://landregistry.data.gov.uk/id/region/city-of-bristol,E06000023,2004-09,772,monthly,154168,276145,177600,150609,135436,2004-09-01
Bristol,http://landregistry.data.gov.uk/id/region/city-of-bristol,E06000023,2004-10,729,monthly,153358,274415,176103,149648,135389,2004-10-01
Bristol,http://landregistry.data.gov.uk/id/region/city-of-bristol,E06000023,2004-11,646,monthly,153518,274147,176090,149666,135914,2004-11-01
