"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2004-01,340,monthly,495894,1186143,1204092,810769,445679,2004-01-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2004-02,308,monthly,506469,1212556,1238610,834787,454275,2004-02-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2004-03,354,monthly,504555,1205659,1235245,834688,452073,2004-03-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2004-04,401,monthly,490464,1160365,1199672,813251,439243,2004-04-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2004-05,360,monthly,488594,1132377,1179285,803404,438453,2004-05-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2004-06,363,monthly,492778,1135549,1190540,810621,442171,2004-06-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2004-07,423,monthly,534860,1239072,1299152,882181,479626,2004-07-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2004-08,317,monthly,547674,1287582,1345291,911710,490046,2004-08-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2004-09,340,monthly,559286,1325327,1382161,934316,500008,2004-09-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2004-10,275,monthly,523246,1233265,1283485,870370,468266,2004-10-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2004-11,247,monthly,517540,1213619,1262650,857321,463609,2004-11-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2004-12,278,monthly,484880,1124667,1171559,800131,434769,2004-12-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2005-01,257,monthly,477958,1108969,1158832,793635,427968,2005-01-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2005-02,189,monthly,480086,1124313,1180809,806959,428587,2005-02-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2005-03,274,monthly,489291,1147898,1211527,825671,436439,2005-03-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2005-04,294,monthly,507964,1185335,1263154,858245,452944,2005-04-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2005-05,274,monthly,518054,1188634,1265693,864202,463531,2005-05-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2005-06,315,monthly,527082,1212082,1282961,880070,471520,2005-06-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2005-07,327,monthly,540566,1248056,1315327,902481,483589,2005-07-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2005-08,286,monthly,529996,1235206,1293089,888508,473607,2005-08-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2005-09,331,monthly,542761,1277578,1335656,914920,484287,2005-09-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2005-10,231,monthly,532195,1253221,1306090,896836,474912,2005-10-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2005-11,273,monthly,540675,1265865,1330711,912561,482287,2005-11-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2005-12,299,monthly,555847,1283239,1350948,931474,496806,2005-12-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2006-01,319,monthly,565247,1307906,1385229,953151,504392,2006-01-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2006-02,233,monthly,569195,1338637,1404489,966644,506987,2006-02-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2006-03,371,monthly,570415,1364415,1429907,978853,506639,2006-03-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2006-04,347,monthly,581164,1401334,1450481,994770,516567,2006-04-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2006-05,338,monthly,590768,1442039,1475975,1011331,525051,2006-05-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2006-06,400,monthly,599841,1474804,1505406,1031035,532483,2006-06-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2006-07,366,monthly,606796,1495741,1530298,1050157,537622,2006-07-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2006-08,355,monthly,609829,1483719,1537201,1056534,540186,2006-08-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2006-09,394,monthly,603462,1477923,1521647,1045560,534522,2006-09-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2006-10,360,monthly,604626,1475089,1521900,1044009,536063,2006-10-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2006-11,350,monthly,630206,1533477,1586251,1087406,558853,2006-11-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2006-12,375,monthly,644541,1572387,1626176,1116479,570951,2006-12-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2007-01,397,monthly,682118,1667696,1728253,1184369,603798,2007-01-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2007-02,317,monthly,695308,1703080,1767720,1208743,615116,2007-02-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2007-03,352,monthly,712066,1726926,1814009,1242406,629617,2007-03-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2007-04,311,monthly,718862,1747349,1835465,1260746,634929,2007-04-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2007-05,320,monthly,718509,1742837,1832502,1260724,634567,2007-05-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2007-06,327,monthly,723633,1760730,1849022,1269359,639109,2007-06-01
